"ROW_ID","ICD9_CODE","SHORT_TITLE","LONG_TITLE"
197,"01201","TB pleurisy-no exam","Tuberculous pleurisy, bacteriological or histological examination not done"
198,"01202","TB pleurisy-exam unkn","Tuberculous pleurisy, bacteriological or histological examination unknown (at present)"
199,"01203","TB pleurisy-micro dx","Tuberculous pleurisy, tubercle bacilli found (in sputum) by microscopy"
200,"01204","TB pleurisy-cult dx","Tuberculous pleurisy, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
201,"01205","TB pleurisy-histolog dx","Tuberculous pleurisy, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
202,"01206","TB pleurisy-oth test","Tuberculous pleurisy, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
203,"01210","TB thoracic nodes-unspec","Tuberculosis of intrathoracic lymph nodes, unspecified"
204,"01211","TB thorax node-no exam","Tuberculosis of intrathoracic lymph nodes, bacteriological or histological examination not done"
205,"01212","TB thorax node-exam unkn","Tuberculosis of intrathoracic lymph nodes, bacteriological or histological examination unknown (at present)"
206,"01213","TB thorax node-micro dx","Tuberculosis of intrathoracic lymph nodes, tubercle bacilli found (in sputum) by microscopy"
207,"01214","TB thorax node-cult dx","Tuberculosis of intrathoracic lymph nodes, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
208,"01215","TB thorax node-histo dx","Tuberculosis of intrathoracic lymph nodes, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
209,"01216","TB thorax node-oth test","Tuberculosis of intrathoracic lymph nodes, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
210,"01220","Isol tracheal tb-unspec","Isolated tracheal or bronchial tuberculosis, unspecified"
211,"01221","Isol tracheal tb-no exam","Isolated tracheal or bronchial tuberculosis, bacteriological or histological examination not done"
212,"01222","Isol trach tb-exam unkn","Isolated tracheal or bronchial tuberculosis, bacteriological or histological examination unknown (at present)"
213,"01223","Isolat trach tb-micro dx","Isolated tracheal or bronchial tuberculosis, tubercle bacilli found (in sputum) by microscopy"
214,"01224","Isol tracheal tb-cult dx","Isolated tracheal or bronchial tuberculosis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
215,"01225","Isolat trach tb-histo dx","Isolated tracheal or bronchial tuberculosis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
216,"01226","Isolat trach tb-oth test","Isolated tracheal or bronchial tuberculosis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
217,"01230","TB laryngitis-unspec","Tuberculous laryngitis, unspecified"
218,"01231","TB laryngitis-no exam","Tuberculous laryngitis, bacteriological or histological examination not done"
219,"01232","TB laryngitis-exam unkn","Tuberculous laryngitis, bacteriological or histological examination unknown (at present)"
220,"01233","TB laryngitis-micro dx","Tuberculous laryngitis, tubercle bacilli found (in sputum) by microscopy"
221,"01234","TB laryngitis-cult dx","Tuberculous laryngitis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
222,"01235","TB laryngitis-histo dx","Tuberculous laryngitis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
604,"01792","TB organ NEC-exam unkn","Tuberculosis of other specified organs, bacteriological or histological examination unknown (at present)"
223,"01236","TB laryngitis-oth test","Tuberculous laryngitis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
224,"01280","Resp TB NEC-unspec","Other specified respiratory tuberculosis, unspecified"
225,"01281","Resp TB NEC-no exam","Other specified respiratory tuberculosis, bacteriological or histological examination not done"
226,"01282","Resp TB NEC-exam unkn","Other specified respiratory tuberculosis, bacteriological or histological examination unknown (at present)"
227,"01283","Resp TB NEC-micro dx","Other specified respiratory tuberculosis, tubercle bacilli found (in sputum) by microscopy"
228,"01284","Resp TB NEC-cult dx","Other specified respiratory tuberculosis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
229,"01285","Resp TB NEC-histo dx","Other specified respiratory tuberculosis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
230,"01286","Resp TB NEC-oth test","Other specified respiratory tuberculosis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
231,"01300","TB meningitis-unspec","Tuberculous meningitis, unspecified"
232,"01301","TB meningitis-no exam","Tuberculous meningitis, bacteriological or histological examination not done"
233,"0010","Cholera d/t vib cholerae","Cholera due to vibrio cholerae"
234,"0011","Cholera d/t vib el tor","Cholera due to vibrio cholerae el tor"
235,"0019","Cholera NOS","Cholera, unspecified"
236,"0020","Typhoid fever","Typhoid fever"
237,"0021","Paratyphoid fever a","Paratyphoid fever A"
238,"0022","Paratyphoid fever b","Paratyphoid fever B"
239,"0023","Paratyphoid fever c","Paratyphoid fever C"
240,"0029","Paratyphoid fever NOS","Paratyphoid fever, unspecified"
241,"0030","Salmonella enteritis","Salmonella gastroenteritis"
242,"0031","Salmonella septicemia","Salmonella septicemia"
243,"00320","Local salmonella inf NOS","Localized salmonella infection, unspecified"
244,"00321","Salmonella meningitis","Salmonella meningitis"
245,"00322","Salmonella pneumonia","Salmonella pneumonia"
246,"00323","Salmonella arthritis","Salmonella arthritis"
247,"00324","Salmonella osteomyelitis","Salmonella osteomyelitis"
248,"00329","Local salmonella inf NEC","Other localized salmonella infections"
249,"0038","Salmonella infection NEC","Other specified salmonella infections"
250,"0039","Salmonella infection NOS","Salmonella infection, unspecified"
251,"0040","Shigella dysenteriae","Shigella dysenteriae"
252,"0041","Shigella flexneri","Shigella flexneri"
253,"0042","Shigella boydii","Shigella boydii"
254,"0043","Shigella sonnei","Shigella sonnei"
255,"0048","Shigella infection NEC","Other specified shigella infections"
256,"0049","Shigellosis NOS","Shigellosis, unspecified"
257,"0050","Staph food poisoning","Staphylococcal food poisoning"
258,"0051","Botulism food poisoning","Botulism food poisoning"
259,"0052","Food pois d/t c. perfrin","Food poisoning due to Clostridium perfringens (C. welchii)"
260,"0053","Food pois: clostrid NEC","Food poisoning due to other Clostridia"
261,"0054","Food pois: v. parahaem","Food poisoning due to Vibrio parahaemolyticus"
262,"00581","Food poisn d/t v. vulnif","Food poisoning due to Vibrio vulnificus"
263,"00589","Bact food poisoning NEC","Other bacterial food poisoning"
264,"0059","Food poisoning NOS","Food poisoning, unspecified"
265,"0060","Ac amebiasis w/o abscess","Acute amebic dysentery without mention of abscess"
266,"0061","Chr amebiasis w/o absces","Chronic intestinal amebiasis without mention of abscess"
267,"0062","Amebic nondysent colitis","Amebic nondysenteric colitis"
268,"01676","TB fem gen NEC-oth test","Tuberculosis of other female genital organs, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
269,"01690","Gu TB NOS-unspec","Genitourinary tuberculosis, unspecified, unspecified"
270,"01691","Gu TB NOS-no exam","Genitourinary tuberculosis, unspecified, bacteriological or histological examination not done"
271,"01692","Gu TB NOS-exam unkn","Genitourinary tuberculosis, unspecified, bacteriological or histological examination unknown (at present)"
272,"01693","Gu TB NOS-micro dx","Genitourinary tuberculosis, unspecified, tubercle bacilli found (in sputum) by microscopy"
