"ROW_ID","ICD9_CODE","SHORT_TITLE","LONG_TITLE"
325,"046","Periph nerve transposit","Transposition of cranial and peripheral nerves"
326,"0471","Hypogloss-facial anastom","Hypoglossal-facial anastomosis"
327,"0472","Accessory-facial anastom","Accessory-facial anastomosis"
328,"0473","Access-hypogloss anastom","Accessory-hypoglossal anastomosis"
329,"0474","Periph nerv anastom NEC","Other anastomosis of cranial or peripheral nerve"
330,"0475","Postop revis per nerv op","Revision of previous repair of cranial and peripheral nerves"
331,"0476","Late repair per nerv inj","Repair of old traumatic injury of cranial and peripheral nerves"
332,"0479","Other neuroplasty","Other neuroplasty"
333,"0480","Periph nerve inject NOS","Peripheral nerve injection, not otherwise specified"
334,"0481","Anesth injec periph nerv","Injection of anesthetic into peripheral nerve for analgesia"
335,"0489","Periph nerve inject NEC","Injection of other agent, except neurolytic"
336,"0491","Neurectasis","Neurectasis"
337,"0492","Imp/repl peri stim lead","Implantation or replacement of peripheral neurostimulator lead(s)"
338,"0493","Removal peri stim lead","Removal of peripheral neurostimulator lead(s)"
339,"0499","Peripheral nerve ops NEC","Other operations on cranial and peripheral nerves"
340,"050","Sympath nerve division","Division of sympathetic nerve or ganglion"
341,"0511","Sympathetic nerve biopsy","Biopsy of sympathetic nerve or ganglion"
342,"0519","Sympath nrv dx proc NEC","Other diagnostic procedures on sympathetic nerves or ganglia"
343,"0521","Sphenopalatin ganglionec","Sphenopalatine ganglionectomy"
344,"0522","Cervical sympathectomy","Cervical sympathectomy"
345,"0523","Lumbar sympathectomy","Lumbar sympathectomy"
346,"0524","Presacral sympathectomy","Presacral sympathectomy"
347,"0525","Periart sympathectomy","Periarterial sympathectomy"
348,"0529","Other sympathectomy","Other sympathectomy and ganglionectomy"
349,"0531","Anesth inject symp nerve","Injection of anesthetic into sympathetic nerve for analgesia"
350,"0532","Neurolyt injec-symp nrv","Injection of neurolytic agent into sympathetic nerve"
351,"0539","Sympath nerve inject NEC","Other injection into sympathetic nerve or ganglion"
352,"0581","Sympathetic nerve repair","Repair of sympathetic nerve or ganglion"
353,"0589","Sympathetic nerve op NEC","Other operations on sympathetic nerves or ganglia"
354,"059","Other nervous system ops","Other operations on nervous system"
355,"0601","Thyroid field aspiration","Aspiration of thyroid field"
356,"0602","Reopen thyroid field wnd","Reopening of wound of thyroid field"
357,"0609","Incis thyroid field NEC","Other incision of thyroid field"
358,"0611","Closed thyroid gland bx","Closed [percutaneous] [needle] biopsy of thyroid gland"
359,"0612","Open thyroid gland bx","Open biopsy of thyroid gland"
360,"0613","Parathyroid biopsy","Biopsy of parathyroid gland"
361,"0619","Thyr/parathy dx proc NEC","Other diagnostic procedures on thyroid and parathyroid glands"
362,"062","Unilat thyroid lobectomy","Unilateral thyroid lobectomy"
363,"0631","Excision thyroid lesion","Excision of lesion of thyroid"
